objectid,parentid,title,display_location,date,active_years,biographical_notes,subject,visual_description,size,artists,printers,publishers,institutions,associated_techniques,intaglio_specific,lithography_specific,relief_specific,screenprint_specific,other_techniques,website,source,submitter,credit,display_template,filetype,filename,object_location,image_small,image_thumb
10041,,Ernest Rosenthal,"Los Angeles, CA",1960,circa 1964-1966,Tamarind Institute printer fellow April 1964-April 1965,Letter; Shape,circle; E; R,unknown,Robert Hansen; Anni Albers; Rufino Tomayo; Ynez Johnston; Walasse Ting; Nathan Oliveira; Lee Mullican; William Nelson Copley; Miriam Schapiro,Tamarind Institute; Plantain Press; Kaye Dyal; Clifford Smith,Tamarind Institute,National Gallery of Art; Norton Simon Museum; University of Iowa; Detroit Institute of Arts,Lithography,,,,,,https://ernestrosenthal.com/about-the-artist,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10041.png,/objects/10041.png,/objects/10041.png,/objects/10041.png
10042,,Jeff Ruocco,"Los Angeles, CA",1960,circa 1964,Tamarind Institute printer fellow April-September 1964,Shape,triangle; ankh; cross,unknown,Paul Brach; Anni Albers; Robert Hansen; Lee Mullican,Kenneth Tyler; Tamarind Institute,Tamarind Institute,Norton Simon Museum; National Gallery of Art,Lithography,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10042.png,/objects/10042.png,/objects/small/10042_sm.jpg,/objects/thumbs/10042_th.jpg
10043,,David Salgado,"Brisbane, CA",1970; 1980; 1990; 2000,circa 1976-2010,Tamarind Institute printer fellow August 1974-January 1976,Shape,circle; curve; curvy; S,unknown,Hung Liu; Beth Van Hoesen; Mark Adams; Edward Ruscha; Lowell Herrero; Sandow Birk; Gary Buknovik; Ray Beldner; Chris Finely; Mike Henderson; Fances McCormack; Mark Perlman,Terry Rein; Trillium Graphics; Tom Goglio; Bud Shark; Stephen Britko; Kris Stoll; Talia Lipskind,Trillium Graphics; Tamarind Institute; Beth Van Hoesen,Portland Art Museum; Fine Arts Museums of San Francisco; Saint MaryÕs College of California,Lithography,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10043.png,/objects/10043.png,/objects/small/10043_sm.jpg,/objects/thumbs/10043_th.jpg
10044,,Maurice Sanchez,"New York, NY",1970; 1980; 1990; 2000; 2010; 2020,circa 1978- present,Tamarind Institute printer fellow August 1966-September 1968,Letter; Shape,circle; M; S,unknown,Carrie Mae Weems; Agnes Denes; Robert Gober; Barbara Kruger; Eric Fischl; Kara Walker; Willie Cole; Louise Bourgeois; Ed Colker; Michael Byron,James Miller; Joe Petruzzelli; Arion Press; Derri�re l'ƒtoile Studios; Studio Heinrici; Harlan & Weaver,Sequra Arts Studio; Derri�re l'ƒtoile Studios; Skira/Rizzoli; Tamarind Institute; The Arion Press; Alexander and Bonin; Baron/BoisantŽ Editions,National Gallery of Art; Smithsonian American Art Museum; Telfair Museums; Wellesley College; Museum of Modern Art,Lithography,,,,,,https://dle-studio.com/,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10044.png,/objects/10044.png,/objects/small/10044_sm.jpg,/objects/thumbs/10044_th.jpg
10045,,Richard Shore,"Minneapolis, MN",1970; 1980,circa 1974-1981,Tamarind Institute printer fellow August 1974-January 1976,Shape,circle; triangle; wave; curve; curvy,unknown,Michelle Stuart; Chuck Close; Earl Stroh,Glen Brill; John Summers; Pace Editions; Lynn Baker,Pace Editions,Saint Louis Art Museum,Lithography,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10045.png,/objects/10045.png,/objects/small/10045_sm.jpg,/objects/thumbs/10045_th.jpg
10046,,"Daniel ""Dan"" Socha","Los Angeles, CA",1960; 1970,circa 1967-1973,"Tamarind Institute printer fellow June 1968-August 1969, Tamarind Institute staff printer 1971",Shape,circle,unknown,Rafael Gomez Canogar; Ed Ruscha; Kenneth Price; Matsumi Kanemitsu; Eleanore Mikus; Seymour Rosofsky; Leon Polk Smith; H.C. Westermann; Hugh Townley; Burhan Dogan�ay; Jules Engel; Ed Moses; Clinton Adams; Mason Williams; Sam Francis; Jasper Johns; Robert Rauschenberg; William T. Wiley,Jean Milant; Manuel Fuentes; Donald Kelly; Kenjilo Nanao; Robert Rogers; John Sommers; Anthony Stoeveken; John Butke; Noemi Smilanksy; Zigmunds Priede; Donn Steward; Frank Akers,Tamarind Institute; Ed Ruscha Studio; Universal Limited Art Editions,Amon Carter Museum of American Art; National Gallery of Art; Fine Arts Museums of San Francisco; Norton Simon Museum; Princeton University Art Museum; Minneapolis Institute of Art; Art Institute Chicago; RISD Museum; Saint Louis Art Museum; Yale University Art Gallery; Metropolitan Museum of Art; Smithsonian American Art Museum,Lithography; Screenprint,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10046.png,/objects/10046.png,/objects/small/10046_sm.jpg,/objects/thumbs/10046_th.jpg
10047,,Emiliano Sorini,"New York, NY",1950; 1960; 1970; 1980,circa 1953-1982,Tamarind Institute printer fellow September-December 1960,Letter; Shape,rectangle; E; S,unknown,Raphael Soyer; James Rosenquist; Jack Levine; Joseph Stella; Louise Nevelson; Jackson Pollock; Leonard Baskin; Goya; Robert Motherwell; William Gropper; Robert Birmelin; Jim Dine; Jacques Lipchitz; Harold Altman; Rico Lebrun; Emerson Woelffer,Pyramid Arts Ltd.,A. Lublin; Pyramid Arts Ltd.; Hollander Graphic Workshop,National Gallery of Art; Art Institute Chicago; Smithsonian American Art Museum; Metropolitan Museum of Art; Library of Congress; Terra Foundation for American Art; Whitney Museum of Art; National Gallery of Australia; Brooklyn Museum; Museum of Fine Arts Boston; Hammer Museum,Intaglio; Lithography,,,,,,https://www.annexgalleries.com/artists/biography/4509/Sorini/Emiliano,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10047.png,/objects/10047.png,/objects/small/10047_sm.jpg,/objects/thumbs/10047_th.jpg
10048,,Donn Steward,,1960; 1970,circa 1962-1977,Tamarind Institute printer fellow November 1965-July 1966,Letter,D; H; S,unknown,Jasper Johns; Lee Bontecou; Larry Rivers; Cy Twombly; Bernett Newman; Helen Frankenthaler; Janet Lee Kadesky Ruttenberg; Robert Rauschenberg; James Rosenquist; George Earl Ortman; Allen Jones; Ynez Johnston; Marisol Escobar,Zigmunds Priede; Timothy Huchthausen; Frank Akers; Universal Limited Art Editions,Universal Limited Art Editions,Whitney Museum of Art; National Gallery of Art; Metropolitan Museum of Art; Spencer Museum of Art; Baltimore Museum of Art; Amon Carter Museum of American Art; Brooklyn Museum; Fine Arts Museum of San Francisco,Intaglio; Lithography,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10048.png,/objects/10048.png,/objects/small/10048_sm.jpg,/objects/thumbs/10048_th.jpg
10049,,Mary Sundstrum,,1970; 1980,circa 1972-1988,Tamarind Institute printer fellow January 1972-April 1973,Image,shell,unknown,Robert Peterson; Ulfert Wilke,Bill Lagattuta,Tamarind Institute,,Lithography,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10049.png,/objects/10049.png,/objects/small/10049_sm.jpg,/objects/thumbs/10049_th.jpg
10050,,Peder Talbert,,,,Tamarind Institute printer fellow November 1973-June 1974,Shape,square; squares; tilted; inside,unknown,,,Tamarind Institute,,Lithography,,,,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Abigail Shim,Information about this mark is courtesy of The Annex Galleries,image,.png,10050.png,/objects/10050.png,/objects/small/10050_sm.jpg,/objects/thumbs/10050_th.jpg
