objectid,title,location,latitude,longitude,active_years,biographical_notes,icon_descriptor,visual_description,size,artists,printers,publishers,institutions,associated_techniques,instaglio_specific,lithography_specific,relief_specific,screenprint_specific,other_techniques,website,source,submitter,credit,type,format,display_template
10001,Tamarind Institute,"Los Angeles, CA, USA (1960 - 1970); Albuquerque, NM, USA (1970 - present)",,,1960 - present,,Shape,"T, paper, lamp",unknown,,June Wayne,,,Lithography,,,,,,https://tamarind.unm.edu/,,Theresa Engelbrecht,,Image;StillImage,image/jpeg,image
10003,Graphicstudio USF,"Tampa, FL, USA",28.05727359,-82.4174423,1968 - present,,Shape,"circle, sunburst, rays, radiate",unknown,"Vito Acconci, Jia Aili, Diana Al-Hadid, Richard Anuszkiewicz, Arakawa
Alice Aycock, Oscar Bailey, Burt Barr, Abel Barroso, Hernan Bas, Georg Baselitz, AbraŠo Batista, Larry Bell, Louise Bourgeois. David Bradshaw, Sebastiaan Bremer, Trisha Brown, William S. Burroughs, Ingrid Calame, Waltercio Caldas, Jim Campbell, Leonora Carrington, Liset Castillo, John Chamberlain, Jake and Dinos Chapman, Sandro Chia, Judy Chicago, Sandra Cinto, Chuck Close, Elisabeth Condon, E.V. Day, Lesley Dill, Jim Dine, Mark Dion, Keith Edmier, Rochelle Feinstein, Teresita Fern‡ndez, Robert Fichter, Lee Friedlander, Carlos Garaicoa, Rico Gatson, Mark Thomas Gibson, Michael Glier, Robert Gordy, Nancy Graves, Iva Gueorguieva, Trenton Doyle Hancock, Ellen Harvey, Arturo Herrera, Graciela Iturbide, Deborah Kass, Alex Katz, Mel Kendrick, Nicholas Krushenick, Guillermo Kuitca, Mernet Larsen, Glenda Le—n, Leslie Lerner, Alfred Leslie, Roy Lichtenstein, Kalup Linzy, Hew Locke, Los Carpinteros, Markus LŸpertz, Robert Mapplethorpe, Christian Marclay, Narsiso Martinez, Allan McCollum, Josiah McElheny, Jason Middlebrook, Abbott Miller, Ellen Lupton, Ibrahim Miranda, Andrea Modica, Vik Muniz, Hugh O'Donnell, Robyn O'Neil, Roxy Paine, JŸrgen Partenheimer, Philip Pearlstein, Beverly Pepper, Jorie Graham, Mette Petri, Robert Rauschenberg, JosŽ Alejandro Restrepo, Duke Riley, James Rosenquist, Ed Ruscha, Donald Saff, Miriam Schapiro, Kenny Scharf, John Scott, Esterio Segura, Alyson Shotz, Hollis Sigler, Lorna Simpson, Kiki Smith, Bosco Sodi, Keith Sonnier, Robert Stackhouse, Pat Steir, John Yau, Mark Stock, SUPERFLEX, Aya Tarek, Francisco Toledo, Fred Tomaselli, Janaina TschŠpe, Richard Tuttle, Rodrigo Valenzuela, Bernar Venet, Siebren Versteeg, William Villalongo, Shraddha Ramani, Sergei Volkov, John Waters, William Wegman, Theo Wujcik, Adja Yunkers",,,National Gallery of Art,"Intaglio, Lithography, Screenprint",,,,,,https://www.graphicstudio.org/,https://www.graphicstudio.org/,Theresa Engelbrecht,,Image;StillImage,image/jpeg,image
10004,Styria Studio,"New York, NY, USA",40.73061,-73.935242,circa 1970 - circa 1983,,"Image, Word","lion, animal, griffin, seal, fire, styria, studio, words",unknown,"Robert Rauschenberg, Andy Warhol, Alex Katz, James Rosenquist, Nam June Paik, Richard Serra, Cy Twombly, Claes Oldenberg, Jim Dine, Mark di Suvero, Lee Bontecou, Dan Flavin, Sol Lewitt",Robert Blanton,Brand X Editions,,,,,,,,,,Theresa Engelbrecht,,Image;StillImage,image/jpeg,image
10005,Tandem Press,"Madison, WI, USA",,,1987Ð,,Letter,"letters T, P",unknown,"Derrick Adams, Richard Bosman, Lynda Benglis, Suzanne Caporael, Robert Cottingham, Lesley Dill, Jim Dine, Jeffrey Gibson, Sam Gilliam, Michelle Grabner, Al Held, Robert Kelly, JosŽ Lerma, Nicola L—pez, Marie Lorenz, David Lynch, Maser, Judy Pfaff, Alison Saar, Sean Scully, David Shapiro, Alan Shields, Jaune Quick-to-See Smith, Swoon, Mickalene Thomas, Dyani White Hawk",,,"Chazen Museum of Art, National Gallery of Art, The Art Institute of Chicago, J.B. Speed Art Museum, British Museum",Intaglio,,,,,,https://tandempress.wisc.edu/,,Saluti,,Image;StillImage,image/jpeg,image
10006,Gemini G.E.L.,"Los Angeles, CA, USA",,,1966 - present,,Shape,"gemini, twins, circle, II",unknown,"Richard Artschwager, John Baldessari, Larry Bell, Ross Bleckner, Jonathan Borofsky, Cecily Brown, Chris Burden, Sophie Calle, Vija Celmins, William Crutchfield, Ron Davis, Tacita Dean, Thomas Demand, Richard Diebenkorn, Sam Francis, Frank Gehry, Allen Ginsberg, Robert Gober, Joe Goode, Philip Guston, Ann Hamilton, David Hammons, Michael Heizer, David Hockney, Jasper Johns, Ellsworth Kelly, Toba Khedoori, Edward & Nancy Kienholz, Roy Lichtenstein, Man Ray, Brice Marden, Julie Mehretu, Malcolm Morley, Elizabeth Murray, Bruce Nauman, Isamu Noguchi, Claes Oldenburg, Darryl Pottorf, Ken Price, Robert Rauschenberg, Darryl Pottorf & Robert Rauschenberg, Dorothea Rockburne, James Rosenquist, Susan Rothenberg, Allen Ruppersberg, Ed Ruscha, Analia Saban, Richard Serra, Joel Shapiro, Keith Sonnier, Saul Steinberg, Frank Stella, Richard Tuttle, Franz West, Terry Winters","Kenneth Tyler, Sidney Felsen, Stanley Grinstein",Tamarind Institute,National Gallery of Art,Intaglio,,,,,,https://www.geminigel.com/,,Theresa Engelbrecht,,Image;StillImage,image/jpeg,image
10007,Landfall Press,"Chicago, IL, USA (1970 - 2004); Santa Fe, NM, USA (since 2004)",,,1970 - circa 2019,,"Letter, Shape",L shape in square,unknown,,"Jack Lemon, Steve Campbell","Black Rock Editions, Tamarind Institute, Parasol Press, Petersburg Press, Multiples Inc",Milwaukee Art Museum,Intaglio,,,,,,,,Theresa Engelbrecht,,Image;StillImage,image/jpeg,image
10008,Collector's Press,"San Francisco, CA, USA",,,1967-1975,,Letter,Uppercase C and lowercase p,unknown,"Garo Antreasian, Norman Stiegelmeyer, Josep Pla-Narbona, Jose Luis Cuevas, Rudolpho Abularach, Keith Boyle, Hans Burkhardt, Bruce Conner, Edward Corbett, Gene Davis, Roy De Forest, Richard Diebenkorn, Sidney Gordin, Masuo Ikeda, Mike Kanemitsu, Frank Lobdell, Fred Martin, Charles Mattox, James Melchert, Manuel Neri, Jules Olitski, Ray Parker, Arnaldo Pomodoro, Deborah Remington, Felix Ruvolo, Peter Saul, Joop Sanders, Sam Rchakalian, Peter Voulkos, Ulfert Wilke, Emerson Woelffer",Ernest de Soto,Tamarind Institute,"Museum of Fine Arts Houston, New Mexico Museum of Art",,,"Stone Lithography, Color Lithography (Chromolithograph)",,,,,https://tamarind.unm.edu/timeline/ernest-de-soto-founds-collectors-press-in-san-francisco-followed-by-de-soto-workshop/,Theresa Engelbrecht,"Information about this mark is courtesy of Theresa Engelbrecht, Samek Art Museum, Bucknell University",Image;StillImage,image/jpeg,image
10009,Brand X Editions,"Long Island City, NY, USA",,,Established 1979,,Letter,"letter, X",unknown,"Roy Lichtenstein, Chuck Close, Jenny Holzer, Alex Katz, Jennifer Bartlett, Kaws, Mickalene Thomas",Robert Blanton,,"Metropolitan Museum of Art, NY; the Museum of Modern Art, NY; the Whitney Museum of American Art, NY; the Philadelphia Museum of Art, PA; the San Francisco Museum of Modern Art; the Walker Art Center, MN; the Tate Gallery, London",,,,,,,https://www.brandxeditions.com/,,Saluti,,Image;StillImage,image/jpeg,image
10010,Chiron Press,"New York, NY, USA",,,1963 - 1968,,Word,"words, chiron, press, new, york, new york, chiron press",unknown,"Andy Warhol, Roy Lichtenstein, Larry Rivers, James Rosenquist, Claes Oldenburg, Marisol, Elaine de Kooning, Helen Frankenthaler, Nicholas Krushenick, Alfred Jensen, Janet Fish, Valerie Jaudon, Richard Kalina, Marisol, Richard Anuszkiewicz, Ernest Trova, Alan Jones, Peter Phillips, Gerald Laing","Steve Poleskie, Brice Marden",,,,,,,,,,,Theresa Engelbrecht,,Image;StillImage,image/jpeg,image
10011,Lower East Side Printshop,"New York, NY, USA",,,Founded 1968,,Image,arm with ink roller in profile,unknown,"Derrick Adams, Ghada Amer, Joell Baxter, Amy Bay, Gail Biederman, Nancy Blum, Erika Blumenfeld, Sebastiaan Bremer, Zana Briski, Beth Campbell, Karlos Carcamo, Amy Chan, Paul Chan, Saul Chernick, Theresa Chong, Cammi Climaco, Jeannie Crosby, Amy Cutler, Edward Del Rosario, Shoshana Dentz, Blane De St. Croix, Mark Dion, Thomas Dozol, Angie Drakopoulos, Nicolas Dumit Estevez, Heide Fasnacht, Joe Figm, Rosemarie Fiore, Ivan Forde, LaToya Ruby Frazier, Deborah Grant, Joanne Greenbaum, Jose Guinto, Arturo Herrera, Havard Homstvedt, Wennie Huang, Matthew Day Jackson, Marie Jager, Hong Seon Jang, Jennie C. Jones, Amy Kao, Darina Karpov, Jane Kent, Fawad Khan, David Kramer, Steve Lambert, Fabienne Lasserre, Geraldine Lau, Jonggeon Lee, Joan Linder, Chris Martin, Steve McClure, Ryan McGinness, Steven Millar, Carlos Motta, Carrie Moyer, David Opdyke, Bruce Pearson, Sheila Pepe, Emilio Perez, Enoc Perez, Danica Phelps, Chloe Piene, William Powhida, Daniel Reiser, Daniel Rich, Gina Ruggeri, Juan S‡nchez, Michael Schall, Dread Scott, Kate Shepherd, Jean Shin, James Siena, Amy Sillman & Jef Scharf, Kiki Smith, Shinique Smith, Sunny Smith, Philip Taaffe, Alison Elizabeth Taylor, Dannielle Tegeder, Mary Temple, Hank Willis Thomas, Janaina TschŠpe, Mark Dean Veca, William Villalongo, Kara Walker, Saya Woolfalk, Lynne Yamamoto",Nathan Catlin,Marie Tennyson,,Intaglio,,,,,,https://www.printshop.org/,,Saluti,,Image;StillImage,image/jpeg,image
